WARNING 2025-07-10 11:39:28,636 log 12724 6952 Not Found: /api/products/best-deals/
WARNING 2025-07-10 11:39:28,717 log 12724 16016 Not Found: /api/products/best-deals/
WARNING 2025-07-10 11:54:34,540 log 12724 7884 Method Not Allowed: /api/products/search-suggestions/
WARNING 2025-07-10 11:54:34,659 log 12724 1196 Method Not Allowed: /api/products/search-suggestions/
WARNING 2025-07-10 11:54:34,859 log 12724 13608 Method Not Allowed: /api/products/search-suggestions/
WARNING 2025-07-10 11:54:37,188 log 12724 7884 Method Not Allowed: /api/products/search-suggestions/
WARNING 2025-07-10 11:54:38,507 log 12724 1196 Method Not Allowed: /api/products/search-suggestions/
WARNING 2025-07-10 11:54:38,820 log 12724 13608 Method Not Allowed: /api/products/search-suggestions/
WARNING 2025-07-10 11:54:40,503 log 12724 7884 Method Not Allowed: /api/products/search-suggestions/
WARNING 2025-07-10 11:54:40,939 log 12724 1196 Method Not Allowed: /api/products/search-suggestions/
WARNING 2025-07-10 11:54:41,365 log 12724 13608 Method Not Allowed: /api/products/search-suggestions/
WARNING 2025-07-10 11:54:41,770 log 12724 7884 Method Not Allowed: /api/products/search-suggestions/
WARNING 2025-07-10 11:54:58,686 log 12724 7712 Not Found: /api/products/best-deals/
WARNING 2025-07-10 11:54:59,198 log 12724 1196 Not Found: /api/products/best-deals/
WARNING 2025-07-10 12:03:23,725 log 12724 15408 Not Found: /api/products/best-deals/
WARNING 2025-07-10 12:03:25,486 log 12724 15408 Not Found: /api/products/best-deals/
WARNING 2025-07-10 12:04:25,235 log 12724 15440 Bad Request: /api/auth/register/
WARNING 2025-07-10 12:04:52,545 log 12724 15440 Bad Request: /api/auth/login/
WARNING 2025-07-10 12:12:41,504 log 12724 16076 Not Found: /api/products/best-deals/
WARNING 2025-07-10 12:12:45,388 log 12724 7488 Not Found: /api/products/best-deals/
WARNING 2025-07-10 12:12:48,102 log 12724 7432 Not Found: /api/products/best-deals/
WARNING 2025-07-10 12:12:48,173 log 12724 7936 Not Found: /api/products/best-deals/
WARNING 2025-07-10 12:16:03,856 log 12724 10196 Bad Request: /api/auth/login/
WARNING 2025-07-10 12:32:52,803 log 12724 2416 Bad Request: /api/auth/login/
INFO 2025-07-10 12:33:31,685 views 12724 2416 User logged in: customer
WARNING 2025-07-10 12:33:33,816 log 12724 15208 Not Found: /api/products/best-deals/
WARNING 2025-07-10 12:33:34,001 log 12724 13336 Not Found: /api/products/best-deals/
